movieId,avg_rating,rating_count,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,cluster
1,3.7933467741935485,496,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
2,3.0698924731182795,279,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
3,2.923076923076923,78,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
4,2.576923076923077,13,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
5,2.848684210526316,76,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,3.8181818181818183,198,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3
7,3.25,82,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
9,2.6346153846153846,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
10,3.33596837944664,253,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
11,3.3807339449541285,109,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
12,2.6176470588235294,34,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13,3.1578947368421053,19,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
14,3.3653846153846154,26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
15,2.7222222222222223,36,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4
16,3.9010416666666665,192,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
17,3.908,125,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
18,3.3125,72,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,2.6825396825396823,252,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,2.5641025641025643,39,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,3
21,3.402439024390244,164,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3
22,3.056451612903226,62,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0
23,3.0392156862745097,51,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3
24,2.8161764705882355,68,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
25,3.643939393939394,132,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
26,3.361111111111111,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
27,3.44,25,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
28,3.9423076923076925,26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
29,3.810810810810811,111,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,4
31,3.1202531645569622,79,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
32,3.9705188679245285,424,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,3
34,3.2752808988764044,267,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
35,3.75,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
36,3.710526315789474,133,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
39,3.2058823529411766,221,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
41,3.769230769230769,26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6
42,3.2222222222222223,27,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
43,3.0294117647058822,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
44,2.6333333333333333,105,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
45,3.4574468085106385,47,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
46,2.925,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
47,4.009955752212389,452,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3
48,2.9285714285714284,133,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2
50,4.180616740088106,454,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,3
52,3.4245283018867925,53,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
57,3.230769230769231,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
58,3.5144927536231885,69,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
60,2.9680851063829787,47,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
61,2.857142857142857,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3
62,3.4782608695652173,115,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
63,2.9642857142857144,28,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64,3.0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
65,2.188679245283019,53,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66,1.1538461538461537,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4
69,3.4705882352941178,51,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70,3.3236994219653178,173,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
73,4.038461538461538,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6
74,3.1923076923076925,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
76,3.1904761904761907,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4
79,2.95,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3
81,2.7941176470588234,17,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
82,3.522727272727273,22,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
85,3.4722222222222223,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
86,3.4423076923076925,26,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
88,3.1333333333333333,60,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
89,3.1029411764705883,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
92,2.8636363636363638,11,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
93,2.3846153846153846,13,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
94,3.625,32,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
95,2.7911392405063293,158,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
97,4.066666666666666,45,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
100,3.08,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3
101,3.6402439024390243,82,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
102,1.9375,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
104,3.4074074074074074,216,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
105,3.263157894736842,57,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
107,3.2,45,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
110,3.7337526205450735,477,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6
111,3.934065934065934,273,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,3
112,3.3430232558139537,86,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
122,2.272727272727273,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
123,3.872093023255814,43,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
